<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
btcUSD;D;20190101;000000;3691.8700000;3841.1700000;3651.0200000;3826.1000000
btcUSD;D;20190102;000000;3826.1000000;3916.5700000;3770.0700000;3890.7900000
btcUSD;D;20190103;000000;3890.8000000;3893.8000000;3758.0700000;3787.5700000
btcUSD;D;20190104;000000;3787.5700000;3849.0000000;3730.0000000;3820.8200000
btcUSD;D;20190105;000000;3820.8200000;3874.1200000;3775.0000000;3798.6200000
btcUSD;D;20190106;000000;3799.9900000;4088.0000000;3756.0100000;4040.9900000
btcUSD;D;20190107;000000;4040.9800000;4070.0000000;3968.7900000;4006.0100000
btcUSD;D;20190108;000000;4005.9700000;4114.8000000;3943.3600000;3993.8600000
btcUSD;D;20190109;000000;3993.8500000;4042.2000000;3962.1200000;4004.1200000
btcUSD;D;20190110;000000;4004.1300000;4035.2100000;3560.0000000;3626.1200000
btcUSD;D;20190111;000000;3626.1200000;3699.9900000;3576.0000000;3635.6900000
btcUSD;D;20190112;000000;3634.7300000;3649.1800000;3557.2900000;3619.4100000
btcUSD;D;20190113;000000;3619.3800000;3641.8600000;3481.5400000;3514.2400000
btcUSD;D;20190114;000000;3514.2400000;3711.1100000;3509.2400000;3664.1900000
btcUSD;D;20190115;000000;3664.1800000;3684.3800000;3538.6300000;3580.7600000
btcUSD;D;20190116;000000;3580.1900000;3666.7300000;3572.5200000;3609.7100000
btcUSD;D;20190117;000000;3609.7100000;3657.0000000;3541.0000000;3640.6500000
btcUSD;D;20190118;000000;3640.6400000;3643.6900000;3580.1600000;3607.8500000
btcUSD;D;20190119;000000;3607.8500000;3765.9000000;3604.9000000;3682.6500000
btcUSD;D;20190120;000000;3683.5000000;3703.3900000;3481.0100000;3536.1900000
btcUSD;D;20190121;000000;3537.5600000;3568.9500000;3487.3700000;3531.7600000
btcUSD;D;20190122;000000;3531.7500000;3611.5000000;3425.0000000;3577.0300000
btcUSD;D;20190123;000000;3577.0400000;3614.4700000;3523.6400000;3553.0100000
btcUSD;D;20190124;000000;3553.0100000;3595.8300000;3530.1000000;3568.9700000
btcUSD;D;20190125;000000;3568.9700000;3578.7900000;3510.0100000;3562.1700000
btcUSD;D;20190126;000000;3562.1700000;3657.7600000;3540.0000000;3556.0700000
btcUSD;D;20190127;000000;3556.0700000;3562.9000000;3470.1400000;3531.0200000
btcUSD;D;20190128;000000;3531.0200000;3535.9200000;3374.0100000;3429.9500000
btcUSD;D;20190129;000000;3429.9500000;3438.4000000;3337.8700000;3397.4200000
btcUSD;D;20190130;000000;3395.7400000;3459.4100000;3372.9700000;3437.5500000
btcUSD;D;20190131;000000;3437.5500000;3473.4000000;3396.7400000;3411.5000000
btcUSD;D;20190201;000000;3411.5000000;3458.2600000;3369.6200000;3437.5000000
btcUSD;D;20190202;000000;3437.5000000;3483.2500000;3414.4900000;3468.4300000
btcUSD;D;20190203;000000;3468.4300000;3471.7600000;3386.4500000;3414.7800000
btcUSD;D;20190204;000000;3415.6900000;3435.0000000;3395.1000000;3409.5700000
btcUSD;D;20190205;000000;3409.5700000;3429.4600000;3400.0000000;3428.4000000
btcUSD;D;20190206;000000;3428.4100000;3441.0000000;3340.8000000;3367.3600000
btcUSD;D;20190207;000000;3366.0000000;3383.1400000;3352.0100000;3359.0000000
btcUSD;D;20190208;000000;3358.9900000;3711.0000000;3344.0000000;3621.9900000
btcUSD;D;20190209;000000;3622.0000000;3644.0800000;3597.0000000;3623.7300000
btcUSD;D;20190210;000000;3623.7300000;3654.2800000;3578.5900000;3648.8400000
btcUSD;D;20190211;000000;3648.8500000;3652.0000000;3579.3800000;3590.3600000
btcUSD;D;20190212;000000;3590.3600000;3618.7700000;3550.0000000;3588.0600000
btcUSD;D;20190213;000000;3588.0600000;3627.9900000;3562.9800000;3576.6800000
btcUSD;D;20190214;000000;3576.6900000;3589.0000000;3535.1000000;3561.5000000
btcUSD;D;20190215;000000;3561.4900000;3620.2200000;3545.8900000;3566.5900000
btcUSD;D;20190216;000000;3566.5900000;3607.3600000;3565.5000000;3582.3700000
btcUSD;D;20190217;000000;3582.3700000;3675.0000000;3557.4300000;3625.0800000
btcUSD;D;20190218;000000;3625.0800000;3917.0000000;3616.1800000;3867.0000000
btcUSD;D;20190219;000000;3867.0000000;3969.5400000;3841.5400000;3888.0100000
btcUSD;D;20190220;000000;3888.3700000;3967.1900000;3867.1300000;3938.9900000
btcUSD;D;20190221;000000;3939.0000000;3988.0000000;3869.4500000;3897.7100000
btcUSD;D;20190222;000000;3897.7100000;3956.4300000;3886.1500000;3942.0200000
btcUSD;D;20190223;000000;3942.0200000;4156.1000000;3911.3000000;4110.0000000
btcUSD;D;20190224;000000;4110.0000000;4188.7900000;3712.8400000;3734.2200000
btcUSD;D;20190225;000000;3734.2300000;3860.0000000;3731.0900000;3818.7900000
btcUSD;D;20190226;000000;3818.7800000;3826.3700000;3763.7100000;3799.4800000
btcUSD;D;20190227;000000;3799.4900000;3823.1300000;3655.0000000;3799.9100000
btcUSD;D;20190228;000000;3800.3500000;3910.0000000;3754.3700000;3792.1400000
btcUSD;D;20190301;000000;3792.1400000;3843.0000000;3791.3100000;3806.1700000
btcUSD;D;20190302;000000;3806.1700000;3818.0800000;3763.0000000;3809.7000000
btcUSD;D;20190303;000000;3809.7000000;3815.4800000;3763.6200000;3786.9300000
btcUSD;D;20190304;000000;3786.9300000;3804.9900000;3672.3900000;3700.7200000
btcUSD;D;20190305;000000;3700.0200000;3876.6500000;3692.3600000;3844.5900000
btcUSD;D;20190306;000000;3844.5900000;3894.7000000;3812.0000000;3851.8900000
btcUSD;D;20190307;000000;3851.8900000;3891.0000000;3830.7900000;3857.0500000
