<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GDAX.BTC-EUR;D;20190414;000000;4494.6100000;4585.7500000;4461.0000000;4567.9800000
GDAX.BTC-EUR;D;20190415;000000;4567.9700000;4589.9900000;4400.0000000;4463.8200000
GDAX.BTC-EUR;D;20190416;000000;4461.8900000;4630.2700000;4446.4700000;4617.4600000
GDAX.BTC-EUR;D;20190417;000000;4617.4700000;4666.2500000;4585.0000000;4629.2600000
GDAX.BTC-EUR;D;20190418;000000;4629.2600000;4737.5000000;4627.0200000;4699.3800000
GDAX.BTC-EUR;D;20190419;000000;4700.0100000;4758.7100000;4630.6600000;4706.5600000
GDAX.BTC-EUR;D;20190420;000000;4705.0300000;4764.9800000;4688.0100000;4740.0000000
GDAX.BTC-EUR;D;20190421;000000;4740.0000000;4759.3400000;4662.2400000;4724.0900000
GDAX.BTC-EUR;D;20190422;000000;4723.0000000;4840.2600000;4683.0000000;4789.1600000
GDAX.BTC-EUR;D;20190423;000000;4789.1600000;5022.1200000;4776.8000000;4942.1200000
GDAX.BTC-EUR;D;20190424;000000;4942.1100000;5025.7600000;4825.2100000;4885.0800000
GDAX.BTC-EUR;D;20190425;000000;4887.3400000;4956.7000000;4500.0000000;4623.5500000
GDAX.BTC-EUR;D;20190426;000000;4612.8000000;4747.1100000;4531.3200000;4629.2000000
GDAX.BTC-EUR;D;20190427;000000;4630.0200000;4688.1200000;4600.0000000;4653.6900000
GDAX.BTC-EUR;D;20190428;000000;4652.9200000;4695.5600000;4585.2000000;4633.0100000
GDAX.BTC-EUR;D;20190429;000000;4633.0100000;4649.9800000;4553.3400000;4601.7900000
GDAX.BTC-EUR;D;20190430;000000;4601.3500000;4726.2100000;4582.2600000;4704.0000000
GDAX.BTC-EUR;D;20190501;000000;4703.8700000;4759.9900000;4703.0100000;4751.9000000
GDAX.BTC-EUR;D;20190502;000000;4746.6000000;4858.0000000;4735.4300000;4830.0000000
GDAX.BTC-EUR;D;20190503;000000;4825.7100000;5184.9900000;4810.1200000;5048.0200000
GDAX.BTC-EUR;D;20190504;000000;5049.7400000;5186.0000000;4925.0000000;5160.8200000
GDAX.BTC-EUR;D;20190505;000000;5160.6300000;5169.0000000;5031.0100000;5110.8700000
GDAX.BTC-EUR;D;20190506;000000;5109.6500000;5135.6200000;4988.0800000;5080.9100000
GDAX.BTC-EUR;D;20190507;000000;5080.9900000;5328.9900000;5080.9900000;5147.3200000
GDAX.BTC-EUR;D;20190508;000000;5141.2600000;5342.0000000;5080.0000000;5302.0000000
GDAX.BTC-EUR;D;20190509;000000;5302.0000000;5520.5000000;5297.4600000;5481.9900000
GDAX.BTC-EUR;D;20190510;000000;5474.3400000;5722.1500000;5427.3800000;5651.2900000
GDAX.BTC-EUR;D;20190511;000000;5651.2900000;6553.2200000;5650.0000000;6320.0000000
GDAX.BTC-EUR;D;20190512;000000;6315.3300000;6765.4500000;5858.0100000;6203.0300000
GDAX.BTC-EUR;D;20190513;000000;6196.2900000;7313.6200000;6108.6900000;6963.2300000
GDAX.BTC-EUR;D;20190514;000000;6972.2800000;7440.0000000;6810.0000000;7124.5300000
GDAX.BTC-EUR;D;20190515;000000;7128.6000000;7403.0000000;7000.3100000;7326.2900000
GDAX.BTC-EUR;D;20190516;000000;7325.9600000;7468.3500000;6862.0100000;7055.0000000
GDAX.BTC-EUR;D;20190517;000000;7055.0100000;7097.9900000;6000.0000000;6607.4100000
GDAX.BTC-EUR;D;20190518;000000;6608.4000000;6749.0000000;6474.8100000;6540.0100000
GDAX.BTC-EUR;D;20190519;000000;6540.0000000;7438.4200000;6522.1000000;7348.3300000
GDAX.BTC-EUR;D;20190520;000000;7340.0400000;7346.1300000;6810.0000000;7164.1200000
GDAX.BTC-EUR;D;20190521;000000;7160.4600000;7274.7500000;7030.0000000;7129.7300000
GDAX.BTC-EUR;D;20190522;000000;7128.5400000;7200.0000000;6745.5800000;6850.0000000
GDAX.BTC-EUR;D;20190523;000000;6846.3200000;7141.7500000;6725.0000000;7047.2900000
GDAX.BTC-EUR;D;20190524;000000;7048.0000000;7288.8300000;6990.6100000;7134.9900000
GDAX.BTC-EUR;D;20190525;000000;7130.7400000;7250.0000000;7100.0000000;7206.9000000
GDAX.BTC-EUR;D;20190526;000000;7206.9000000;7886.1900000;7056.9700000;7782.7500000
GDAX.BTC-EUR;D;20190527;000000;7777.9800000;7977.9900000;7700.0000000;7834.5400000
GDAX.BTC-EUR;D;20190528;000000;7834.5300000;7885.1300000;7618.8800000;7824.1800000
GDAX.BTC-EUR;D;20190529;000000;7822.0100000;7870.0000000;7533.4500000;7792.6100000
GDAX.BTC-EUR;D;20190530;000000;7795.5700000;8191.2300000;7201.0000000;7469.9700000
GDAX.BTC-EUR;D;20190531;000000;7468.0100000;7700.0000000;7313.0000000;7674.9800000
GDAX.BTC-EUR;D;20190601;000000;7670.6000000;7725.0000000;7577.6500000;7661.0600000
GDAX.BTC-EUR;D;20190602;000000;7661.0600000;7898.8400000;7661.0600000;7838.9700000
GDAX.BTC-EUR;D;20190603;000000;7839.9700000;7842.2300000;7176.0200000;7231.8900000
GDAX.BTC-EUR;D;20190604;000000;7231.4500000;7231.4500000;6611.0200000;6817.3900000
GDAX.BTC-EUR;D;20190605;000000;6822.0600000;7071.2000000;6751.6500000;6945.0100000
GDAX.BTC-EUR;D;20190606;000000;6945.0000000;7010.0000000;6615.0000000;6923.6400000
GDAX.BTC-EUR;D;20190607;000000;6923.7800000;7189.9900000;6890.2600000;7071.6200000
GDAX.BTC-EUR;D;20190608;000000;7070.0000000;7122.4300000;6870.8500000;7005.9900000
GDAX.BTC-EUR;D;20190609;000000;7005.4500000;7034.3000000;6685.9300000;6788.9600000
GDAX.BTC-EUR;D;20190610;000000;6781.3900000;7174.9700000;6659.5300000;7093.8100000
GDAX.BTC-EUR;D;20190611;000000;7093.6000000;7119.0000000;6829.0000000;6986.8500000
GDAX.BTC-EUR;D;20190612;000000;6986.8400000;7336.8100000;6915.0000000;7245.0000000
GDAX.BTC-EUR;D;20190613;000000;7244.0900000;7396.7900000;7146.0100000;7315.7600000
GDAX.BTC-EUR;D;20190614;000000;7315.6700000;7791.7500000;7262.9200000;7758.4000000
GDAX.BTC-EUR;D;20190615;000000;7749.5600000;7900.0000000;7632.0000000;7859.9900000
GDAX.BTC-EUR;D;20190616;000000;7853.2400000;8216.0000000;7650.0000000;7993.5300000
GDAX.BTC-EUR;D;20190617;000000;7990.3200000;8440.0000000;7990.3200000;8321.5800000
GDAX.BTC-EUR;D;20190618;000000;8321.3300000;8333.4500000;7997.0000000;8108.6800000
GDAX.BTC-EUR;D;20190619;000000;8118.4400000;8300.0000000;8069.3300000;8273.7100000
GDAX.BTC-EUR;D;20190620;000000;8271.3400000;8500.0000000;8164.0300000;8445.3400000
GDAX.BTC-EUR;D;20190621;000000;8441.9300000;9000.0000000;8438.2000000;8995.7400000
GDAX.BTC-EUR;D;20190622;000000;8992.2700000;9885.0000000;8874.4800000;9314.9000000
GDAX.BTC-EUR;D;20190623;000000;9314.6800000;9879.9900000;9160.0000000;9456.9900000
GDAX.BTC-EUR;D;20190624;000000;9456.9900000;9748.9900000;9255.3100000;9678.9600000
GDAX.BTC-EUR;D;20190625;000000;9687.5800000;10340.0000000;9655.4700000;10337.8500000
GDAX.BTC-EUR;D;20190626;000000;10337.7500000;12193.0000000;9956.7200000;11337.9600000
GDAX.BTC-EUR;D;20190627;000000;11337.9800000;11654.8700000;8850.0000000;9760.4900000
GDAX.BTC-EUR;D;20190628;000000;9788.9900000;10945.1600000;9426.0000000;10890.0000000
GDAX.BTC-EUR;D;20190629;000000;10873.0100000;10876.8700000;10000.0000000;10429.3200000
GDAX.BTC-EUR;D;20190630;000000;10433.3200000;10690.0000000;9401.1000000;9466.7600000
GDAX.BTC-EUR;D;20190701;000000;9476.7400000;9890.4500000;8723.0000000;9345.0000000
GDAX.BTC-EUR;D;20190702;000000;9344.9900000;9700.0100000;8536.0000000;9594.1600000
GDAX.BTC-EUR;D;20190703;000000;9600.6700000;10635.6600000;9599.8600000;10604.9800000
GDAX.BTC-EUR;D;20190704;000000;10608.3800000;10682.7500000;9813.1000000;9913.1000000
GDAX.BTC-EUR;D;20190705;000000;9896.2900000;10211.1900000;9570.5200000;9800.8000000
GDAX.BTC-EUR;D;20190706;000000;9822.9500000;10435.0000000;9803.9200000;10022.8000000
GDAX.BTC-EUR;D;20190707;000000;10022.0800000;10343.3700000;9900.0000000;10236.4100000
GDAX.BTC-EUR;D;20190708;000000;10236.4100000;11049.4400000;10111.0100000;10963.5700000
GDAX.BTC-EUR;D;20190709;000000;10962.0300000;11442.8100000;10750.0000000;11216.8900000
GDAX.BTC-EUR;D;20190710;000000;11216.8800000;11700.0000000;10263.9800000;10768.3000000
GDAX.BTC-EUR;D;20190711;000000;10768.3000000;10768.3000000;9777.7100000;10099.9900000
GDAX.BTC-EUR;D;20190712;000000;10098.0200000;10600.0000000;9852.0000000;10486.6000000
GDAX.BTC-EUR;D;20190713;000000;10488.7500000;10518.2900000;9608.2300000;10120.4400000
GDAX.BTC-EUR;D;20190714;000000;10117.9400000;10178.9800000;8999.0000000;9060.9800000
GDAX.BTC-EUR;D;20190715;000000;9064.6200000;9850.4800000;8780.0000000;9653.6600000
GDAX.BTC-EUR;D;20190716;000000;9653.6700000;9808.0800000;8369.0000000;8396.7700000
GDAX.BTC-EUR;D;20190717;000000;8417.4500000;8918.6500000;8100.0000000;8643.3000000
GDAX.BTC-EUR;D;20190718;000000;8644.2900000;9579.0000000;8300.0100000;9450.0000000
GDAX.BTC-EUR;D;20190719;000000;9460.0000000;9560.0000000;9010.0000000;9390.0200000
GDAX.BTC-EUR;D;20190720;000000;9390.0200000;9921.7100000;9258.1200000;9602.2600000
GDAX.BTC-EUR;D;20190721;000000;9599.2500000;9675.4500000;9210.0000000;9444.6400000
GDAX.BTC-EUR;D;20190722;000000;9462.0800000;9541.4300000;9000.0100000;9222.8200000
GDAX.BTC-EUR;D;20190723;000000;9212.9900000;9222.2500000;8814.1000000;8838.5700000
GDAX.BTC-EUR;D;20190724;000000;8853.9100000;8921.6400000;8547.6800000;8770.4400000
GDAX.BTC-EUR;D;20190725;000000;8770.4300000;9141.5400000;8740.1100000;8881.5900000
GDAX.BTC-EUR;D;20190726;000000;8871.4000000;8924.0000000;8685.5500000;8854.8800000
GDAX.BTC-EUR;D;20190727;000000;8854.8900000;9200.0000000;8400.0000000;8521.0400000
GDAX.BTC-EUR;D;20190728;000000;8523.6200000;8695.0000000;8212.0400000;8574.6400000
GDAX.BTC-EUR;D;20190729;000000;8574.8800000;8739.0000000;8425.0100000;8538.2100000
GDAX.BTC-EUR;D;20190730;000000;8526.4200000;8750.0000000;8421.0000000;8585.0400000
GDAX.BTC-EUR;D;20190731;000000;8588.9400000;9098.1900000;8572.3200000;9097.8500000
GDAX.BTC-EUR;D;20190801;000000;9098.1800000;9444.0000000;8937.1900000;9377.3000000
GDAX.BTC-EUR;D;20190802;000000;9377.2400000;9605.0000000;9283.9900000;9469.8500000
GDAX.BTC-EUR;D;20190803;000000;9462.0200000;9800.0000000;9450.4100000;9731.4800000
GDAX.BTC-EUR;D;20190804;000000;9729.5300000;9947.0800000;9500.0000000;9858.2400000
GDAX.BTC-EUR;D;20190805;000000;9860.8400000;10649.9900000;9858.4100000;10486.2400000
GDAX.BTC-EUR;D;20190806;000000;10501.0100000;10980.0000000;9955.0000000;10219.9900000
GDAX.BTC-EUR;D;20190807;000000;10219.9700000;10811.8000000;10126.7200000;10652.5400000
GDAX.BTC-EUR;D;20190808;000000;10658.1100000;10780.0000000;10251.0000000;10708.6500000
GDAX.BTC-EUR;D;20190809;000000;10720.7500000;10760.4400000;10420.2000000;10582.4800000
GDAX.BTC-EUR;D;20190810;000000;10582.4800000;10689.0000000;10017.4600000;10090.9400000
GDAX.BTC-EUR;D;20190811;000000;10090.9400000;10390.7700000;9905.0000000;10306.0100000
GDAX.BTC-EUR;D;20190812;000000;10314.4600000;10314.4600000;10050.5100000;10156.0100000
GDAX.BTC-EUR;D;20190813;000000;10156.0100000;10204.1200000;9617.7000000;9725.1000000
GDAX.BTC-EUR;D;20190814;000000;9732.0100000;9732.0100000;8907.3100000;8998.5100000
GDAX.BTC-EUR;D;20190815;000000;9005.0000000;9424.8200000;8515.0000000;9287.7900000
GDAX.BTC-EUR;D;20190816;000000;9282.2200000;9518.8600000;8766.9600000;9349.7500000
GDAX.BTC-EUR;D;20190817;000000;9349.7500000;9449.0000000;9026.0100000;9211.5700000
GDAX.BTC-EUR;D;20190818;000000;9211.5600000;9475.0000000;9090.1900000;9319.2400000
GDAX.BTC-EUR;D;20190819;000000;9307.5700000;9867.5300000;9266.0100000;9862.3100000
GDAX.BTC-EUR;D;20190820;000000;9855.5700000;9902.3400000;9531.0000000;9700.0000000
GDAX.BTC-EUR;D;20190821;000000;9703.9000000;9747.1100000;8889.0000000;9134.8400000
GDAX.BTC-EUR;D;20190822;000000;9134.9100000;9247.8700000;8822.0000000;9132.9300000
GDAX.BTC-EUR;D;20190823;000000;9129.5000000;9437.4700000;9056.6400000;9343.5600000
GDAX.BTC-EUR;D;20190824;000000;9345.7200000;9364.2700000;8900.0000000;9108.5200000
GDAX.BTC-EUR;D;20190825;000000;9100.3400000;9286.4900000;8922.1400000;9122.4300000
GDAX.BTC-EUR;D;20190826;000000;9107.4100000;9575.0000000;9107.4100000;9338.6600000
